Teacher,default,,,
Class,Demo 1A,,,
Computer Name,Student Name,Gender,X,Y
PC01,Chan Tai Man (01),M,259,492
PC02,Wong Siu Ming (02),M,324,492
PC03,Lee Ka Yan (03),F,450,491
PC04,Ho Chun Kit (04),M,511,491
PC05,Cheung Ho Yin (05),M,586,491
PC06,Lam Ka Ying (06),F,654,492
PC07,Tsang Chi Hang (07),M,776,487
PC08,Yeung Mei Ling (08),F,846,491
PC09,Kwok Tsz Ching (09),F,267,402
PC10,Au Yeung Kin (10),M,324,402
PC11,Poon Sze Wai (11),F,450,401
PC12,Chow Ka Ho (12),M,511,401
PC13,Tam Yuen Ting (13),F,586,401
PC14,Fung Chi Wai (14),M,654,401
PC15,So Man Kit (15),M,773,408
PC16,Lau Hoi Ching (16),F,851,407
